Neighbourhood;Security Deposit;Availability 30;Availability 60;Availability 90;Availability 365;Review Scores Rating;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Square Feet;Minimum Nights;Maximum Nights
Guindalera;100.0;0;0;0;0;;Guindalera;Salamanca;Chalet;Private room;6;1.0;1.0;5.0;Real Bed;130.0;50.0;1;25;strict;431.0;1;1125
;85.0;0;0;1;2;87.0;Marroquina;Moratalaz;Apartment;Private room;2;1.0;1.0;1.0;Pull-out Sofa;25.0;8.0;1;0;moderate;;3;1125
Justicia;150.0;5;16;27;70;97.0;Justicia;Centro;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;49.0;20.0;2;10;strict;;2;1125
Argüelles;150.0;22;52;82;357;100.0;Casa de Campo;Moncloa - Aravaca;Bed & Breakfast;Private room;2;1.0;1.0;1.0;Real Bed;48.0;25.0;1;0;flexible;;2;1125
;100.0;10;40;70;345;87.0;Fontarrón;Moratalaz;Apartment;Entire home/apt;1;1.0;1.0;1.0;Real Bed;20.0;;1;0;strict;;20;365
Palacio;;0;0;0;0;70.0;Palacio;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;65.0;;1;0;flexible;;1;1125
;300.0;0;0;0;0;;Imperial;Arganzuela;Apartment;Entire home/apt;6;2.0;3.0;4.0;Real Bed;90.0;;6;20;strict;;2;1125
;188.0;0;20;50;106;;Castellana;Salamanca;Apartment;Private room;1;1.0;1.0;2.0;Real Bed;42.0;23.0;1;19;moderate;;4;30
;90.0;19;49;79;169;97.0;Sol;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;46.0;;1;0;moderate;;2;1125
Justicia;100.0;11;22;37;134;100.0;Justicia;Centro;Bed & Breakfast;Private room;8;2.5;4.0;5.0;Real Bed;40.0;20.0;1;25;moderate;;2;1125
Puente de Vallecas;500.0;0;0;0;251;;Numancia;Puente de Vallecas;Apartment;Entire home/apt;5;2.0;3.0;4.0;Real Bed;75.0;40.0;2;15;moderate;;7;1125
Embajadores;100.0;2;12;42;315;93.0;Embajadores;Centro;Loft;Entire home/apt;4;1.0;1.0;2.0;Real Bed;100.0;20.0;2;0;flexible;;2;1125
Castillejos;;0;0;0;269;97.0;Castillejos;Tetuán;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;17.0;;1;0;flexible;;2;30
Sol;;3;18;42;189;97.0;Sol;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Pull-out Sofa;55.0;27.0;1;0;strict;;1;60
Argüelles;;30;60;90;365;90.0;Argüelles;Moncloa - Aravaca;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;22.0;;1;0;strict;;2;1125
;150.0;17;44;72;347;95.0;Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;65.0;30.0;2;20;strict;;2;1125
Adelfas;150.0;12;42;68;343;80.0;Adelfas;Retiro;Condominium;Entire home/apt;5;1.0;2.0;5.0;Real Bed;55.0;25.0;1;0;moderate;;3;1125
Villa de Vallecas;;28;58;88;178;50.0;Casco Histórico de Vallecas;Villa de Vallecas;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;60.0;;1;0;flexible;;2;1125
;100.0;3;24;54;144;88.0;Ventas;Ciudad Lineal;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;20.0;;1;10;moderate;;2;14
Goya;350.0;7;33;63;328;98.0;Goya;Salamanca;Loft;Entire home/apt;6;2.5;2.0;4.0;Real Bed;79.0;50.0;2;25;strict;;2;180
;;20;50;80;355;90.0;Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;150.0;;1;0;flexible;;1;1125
Argüelles;;0;0;0;0;;Casa de Campo;Moncloa - Aravaca;Apartment;Entire home/apt;4;2.5;2.0;3.0;Real Bed;79.0;35.0;1;0;flexible;;2;14
Palacio;200.0;6;14;22;297;73.0;Palacio;Centro;Apartment;Entire home/apt;6;2.0;2.0;2.0;Real Bed;120.0;50.0;1;0;strict;;2;1125
Malasaña;200.0;10;27;51;326;95.0;Universidad;Centro;Loft;Entire home/apt;2;1.0;0.0;1.0;Real Bed;68.0;16.0;2;15;strict;;2;1125
;;0;27;57;332;93.0;Costillares;Ciudad Lineal;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;70.0;;1;0;moderate;;5;1125
;200.0;2;11;30;102;96.0;Colina;Ciudad Lineal;Condominium;Entire home/apt;3;1.0;1.0;2.0;Real Bed;65.0;;2;10;strict;;4;120
;;7;37;67;68;;Gaztambide;Chamberí;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;33.0;15.0;1;0;flexible;;2;31
Malasaña;;4;28;55;330;98.0;Universidad;Centro;Apartment;Entire home/apt;3;1.0;0.0;1.0;Real Bed;70.0;15.0;2;10;strict;;3;14
Malasaña;;5;35;65;65;100.0;Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;75.0;75.0;1;0;strict;;5;180
Justicia;200.0;0;0;3;253;;Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;185.0;30.0;1;0;moderate;;1;80
Justicia;240.0;10;27;44;285;96.0;Justicia;Centro;Apartment;Entire home/apt;9;3.0;3.0;8.0;Real Bed;240.0;60.0;6;20;strict;;1;1125
Sol;;1;2;11;56;87.0;Sol;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;39.0;;1;0;moderate;;2;365
Cuatro Caminos;100.0;18;48;78;353;;Cuatro Caminos;Tetuán;Apartment;Private room;3;1.0;1.0;1.0;Real Bed;29.0;12.0;1;12;strict;;2;1125
Sol;200.0;9;21;41;139;88.0;Sol;Centro;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;91.0;40.0;1;6;moderate;;2;1125
;;7;7;35;310;100.0;Comillas;Carabanchel;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;80.0;;2;40;flexible;;2;1125
Aluche;;10;29;51;303;85.0;Aluche;Latina;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;75.0;25.0;2;10;strict;;2;1125
Cortes;;0;0;0;0;100.0;Cortes;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;28.0;;1;22;moderate;;1;4
Villaverde;;0;0;0;0;;Los Rosales;Villaverde;Apartment;Shared room;1;1.0;1.0;1.0;Real Bed;10.0;15.0;1;0;strict;;1;1125
Malasaña;;5;22;43;130;98.0;Universidad;Centro;House;Private room;2;1.0;1.0;2.0;Real Bed;60.0;;2;20;moderate;;2;1125
;;6;19;37;117;92.0;Trafalgar;Chamberí;Apartment;Entire home/apt;8;1.0;3.0;3.0;Real Bed;90.0;14.0;6;20;moderate;;1;1125
Ibiza;100.0;10;15;20;259;91.0;Ibiza;Retiro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;70.0;40.0;2;15;moderate;;3;1125
Arapiles;90.0;0;0;0;216;97.0;Arapiles;Chamberí;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;26.0;;1;10;moderate;0.0;2;30
;350.0;6;18;26;72;80.0;Aravaca;Moncloa - Aravaca;Apartment;Entire home/apt;5;2.0;2.0;4.0;Real Bed;72.0;;1;0;flexible;;3;1125
;;16;46;74;75;;Lucero;Latina;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;25.0;;1;0;flexible;;2;15
;;14;23;40;202;80.0;Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;103.0;77.0;2;17;strict;;3;1125
Embajadores;;14;28;58;333;91.0;Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;55.0;10.0;1;0;moderate;;2;3
;400.0;17;47;77;77;98.0;Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;70.0;25.0;2;30;strict;;3;1125
Justicia;150.0;7;26;49;137;94.0;Justicia;Centro;Apartment;Entire home/apt;6;2.0;3.0;3.0;Real Bed;120.0;42.0;1;0;flexible;;2;1125
La Latina;;3;6;35;35;91.0;Palacio;Centro;House;Entire home/apt;4;2.0;2.0;2.0;Real Bed;90.0;35.0;1;0;strict;;1;1125
Embajadores;;0;1;2;72;100.0;Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;80.0;;1;0;moderate;0.0;12;25
Ciudad Jardin;150.0;11;34;62;331;97.0;Ciudad Jardín;Chamartín;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;95.0;40.0;2;10;moderate;;2;1125
;;0;0;0;0;;Acacias;Arganzuela;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;40.0;;1;0;flexible;;1;1125
Malasaña;;14;28;41;316;89.0;Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;150.0;30.0;2;5;strict;;2;28
La Latina;;9;29;51;326;93.0;Palacio;Centro;Loft;Entire home/apt;4;2.0;2.0;3.0;Real Bed;160.0;;1;0;strict;;2;1125
;;14;37;67;68;;Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;24.0;10.0;1;20;flexible;;1;1125
Malasaña;;12;17;29;274;95.0;Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;60.0;;1;0;strict;;5;1125
Malasaña;;9;31;53;328;100.0;Universidad;Centro;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;75.0;25.0;1;0;strict;;1;1125
Cortes;200.0;23;48;75;350;90.0;Cortes;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Pull-out Sofa;90.0;40.0;1;0;strict;;2;1125
Guindalera;;7;32;58;58;;Guindalera;Salamanca;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;70.0;;1;0;moderate;;3;1125
La Latina;;21;51;81;356;89.0;Embajadores;Centro;Apartment;Private room;2;0.0;1.0;1.0;Real Bed;35.0;;1;0;moderate;;1;1125
La Chopera;;7;37;67;342;;Chopera;Arganzuela;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;23.0;;1;0;flexible;;1;1125
;;0;0;0;0;100.0;Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;65.0;;1;0;moderate;;3;1125
Cortes;;26;56;86;361;85.0;Cortes;Centro;Apartment;Private room;6;2.0;1.0;4.0;Real Bed;54.0;18.0;2;28;strict;;1;100
;;30;60;90;181;;Aluche;Latina;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;50.0;;1;0;flexible;;1;30
;;7;31;57;157;91.0;Sol;Centro;Apartment;Entire home/apt;7;1.0;2.0;5.0;Real Bed;119.0;35.0;4;15;strict;;2;1125
Cortes;200.0;9;14;33;290;84.0;Cortes;Centro;Apartment;Entire home/apt;8;2.0;4.0;6.0;Real Bed;160.0;70.0;2;10;strict;;2;1125
Castilla;150.0;9;28;49;314;100.0;Castilla;Chamartín;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;50.0;20.0;1;10;moderate;;2;1125
Sol;150.0;0;0;0;0;93.0;Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;85.0;40.0;2;20;strict;;2;1125
Palos do Moguer;100.0;1;4;25;136;93.0;Palos de Moguer;Arganzuela;House;Entire home/apt;5;2.0;3.0;3.0;Real Bed;80.0;40.0;2;10;flexible;;4;1125
;;0;0;0;0;;Justicia;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;90.0;;2;30;flexible;;4;15
;;0;30;60;335;74.0;Valverde;Fuencarral - El Pardo;House;Shared room;1;2.0;1.0;2.0;Real Bed;14.0;;1;0;flexible;;2;1125
Palos do Moguer;;6;16;30;241;87.0;Palos de Moguer;Arganzuela;Loft;Entire home/apt;4;1.0;0.0;2.0;Real Bed;62.0;;2;10;strict;;2;1125
;;1;1;4;4;90.0;Recoletos;Salamanca;Apartment;Entire home/apt;7;1.0;2.0;7.0;Real Bed;170.0;;1;0;moderate;;2;14
Embajadores;;5;29;54;54;100.0;Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;30.0;20.0;1;0;moderate;;2;1125
;;11;21;36;278;95.0;Lista;Salamanca;House;Entire home/apt;10;3.0;3.0;10.0;Real Bed;139.0;47.0;4;25;moderate;;2;1234
;150.0;14;30;55;55;88.0;Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;Pull-out Sofa;86.0;;1;0;moderate;;2;30
;;30;60;90;365;;Puerta Bonita;Carabanchel;Apartment;Private room;1;1.0;1.0;2.0;Real Bed;325.0;;1;0;flexible;;1;1125
;;4;16;33;308;90.0;Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;58.0;20.0;2;8;flexible;;2;1125
Malasaña;200.0;28;58;88;363;;Universidad;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;45.0;;1;25;moderate;;2;1125
Cuatro Caminos;;0;0;0;0;90.0;Cuatro Caminos;Tetuán;Apartment;Entire home/apt;6;2.0;3.0;3.0;Real Bed;169.0;35.0;1;0;strict;;2;1125
;;28;58;88;363;;Casa de Campo;Moncloa - Aravaca;Other;Entire home/apt;6;2.0;3.0;3.0;Real Bed;469.0;;1;0;flexible;;2;1125
Malasaña;200.0;11;27;45;314;;Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;109.0;50.0;1;0;strict;;3;90
Sol;;0;7;13;232;96.0;Sol;Centro;Apartment;Entire home/apt;6;1.0;2.0;4.0;Real Bed;99.0;20.0;1;0;strict;;1;1125
Guindalera;;0;0;4;279;85.0;Guindalera;Salamanca;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;19.0;;1;0;strict;;1;365
Malasaña;150.0;0;0;0;62;99.0;Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;80.0;30.0;2;0;moderate;;3;180
;;3;3;3;3;;Universidad;Centro;Condominium;Private room;2;1.0;1.0;1.0;Real Bed;30.0;;1;0;flexible;;4;10
;100.0;22;52;82;357;80.0;La Paz;Fuencarral - El Pardo;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;23.0;12.0;1;10;flexible;;1;1125
Embajadores;;3;33;63;338;91.0;Embajadores;Centro;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;29.0;10.0;1;10;moderate;;1;60
Justicia;200.0;0;0;0;0;67.0;Justicia;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;78.0;40.0;1;0;strict;;2;1125
;100.0;6;23;53;262;93.0;Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;65.0;40.0;1;20;flexible;0.0;5;15
Malasaña;;5;6;14;15;95.0;Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;75.0;40.0;3;10;strict;;4;180
;;16;36;45;317;73.0;Imperial;Arganzuela;Apartment;Private room;2;1.0;1.0;5.0;Real Bed;31.0;;2;10;strict;;1;1125
;400.0;0;7;31;94;;Cortes;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;45.0;10.0;1;0;strict;;1;1125
Palacio;200.0;0;0;0;244;73.0;Palacio;Centro;Apartment;Entire home/apt;6;2.0;2.0;4.0;Real Bed;155.0;100.0;2;20;strict;;2;1125
;;0;0;6;281;;Universidad;Centro;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;35.0;;1;5;flexible;;2;1125
Palos do Moguer;150.0;20;50;80;80;96.0;Palos de Moguer;Arganzuela;Apartment;Entire home/apt;6;1.0;2.0;2.0;Real Bed;120.0;40.0;1;20;strict;;5;10
;;1;12;15;231;96.0;Goya;Salamanca;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;60.0;;2;15;flexible;;4;30
;;8;19;38;313;99.0;Opañel;Carabanchel;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;16.0;;1;10;strict;;2;1125
Almagro;;10;40;67;342;67.0;Almagro;Chamberí;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;80.0;50.0;1;0;strict;;1;1125
;100.0;0;0;7;258;93.0;Delicias;Arganzuela;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;60.0;20.0;1;0;strict;;2;1125
Embajadores;;0;4;28;278;92.0;Embajadores;Centro;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;55.0;20.0;2;12;moderate;;4;1125
Castillejos;;13;28;43;309;99.0;Castillejos;Tetuán;House;Entire home/apt;9;3.0;4.0;7.0;Real Bed;195.0;;1;0;moderate;;2;1125
Malasaña;150.0;4;12;26;292;86.0;Universidad;Centro;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;85.0;30.0;4;16;strict;;2;1125
Malasaña;100.0;11;31;53;328;90.0;Universidad;Centro;House;Entire home/apt;4;2.0;2.0;2.0;Real Bed;99.0;30.0;4;0;strict;;1;365
;;14;25;43;133;95.0;Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;65.0;;2;10;moderate;;3;1125
Malasaña;;17;36;62;62;87.0;Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;55.0;30.0;1;0;flexible;;2;1125
Cortes;85.0;4;30;60;335;99.0;Cortes;Centro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;28.0;7.0;1;20;flexible;;1;3
Malasaña;;3;33;63;338;95.0;Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;50.0;;1;0;flexible;;2;6
Sol;200.0;3;15;28;222;85.0;Sol;Centro;Apartment;Entire home/apt;5;2.0;2.0;3.0;Real Bed;99.0;20.0;1;0;strict;0.0;1;1125
Carabanchel;;1;13;32;107;90.0;Opañel;Carabanchel;House;Entire home/apt;6;1.0;2.0;4.0;Real Bed;80.0;;1;0;moderate;;1;30
Cortes;100.0;0;0;0;33;92.0;Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;50.0;20.0;1;0;strict;;1;1125
Malasaña;;5;13;37;120;91.0;Universidad;Centro;Loft;Entire home/apt;5;1.0;1.0;2.0;Real Bed;69.0;25.0;4;25;strict;;2;1125
;;9;37;67;67;;Sol;Centro;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;45.0;;1;10;strict;;2;1125
Recoletos;300.0;4;4;4;191;98.0;Recoletos;Salamanca;Apartment;Entire home/apt;6;2.5;3.0;3.0;Real Bed;260.0;90.0;1;0;strict;;5;1125
;300.0;9;36;61;63;;Vista Alegre;Carabanchel;Apartment;Entire home/apt;16;2.0;5.0;16.0;Real Bed;338.0;50.0;1;0;moderate;;1;1125
Moratalaz;150.0;0;6;36;311;90.0;Fontarrón;Moratalaz;House;Private room;1;1.0;1.0;1.0;Real Bed;25.0;20.0;1;0;moderate;;14;1125
La Latina;;0;0;0;97;73.0;Embajadores;Centro;Condominium;Entire home/apt;4;1.0;0.0;1.0;Real Bed;50.0;5.0;2;5;strict;;2;15
Carabanchel;;0;0;0;0;;San Isidro;Carabanchel;House;Entire home/apt;2;1.0;1.0;1.0;Real Bed;50.0;;1;0;flexible;;5;1125
;200.0;22;52;82;357;;Embajadores;Centro;Loft;Entire home/apt;5;1.0;2.0;3.0;Real Bed;115.0;50.0;4;25;strict;;2;1125
;85.0;29;59;89;364;90.0;Cuatro Caminos;Tetuán;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;65.0;20.0;1;0;flexible;;2;1125
Trafalgar;;13;28;28;28;100.0;Trafalgar;Chamberí;Apartment;Private room;2;1.0;1.0;1.0;Pull-out Sofa;40.0;;1;0;flexible;;1;1125
Justicia;;3;27;57;332;99.0;Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;55.0;20.0;2;17;moderate;;1;1125
Hispanoamérica;;3;15;42;315;98.0;Hispanoamérica;Chamartín;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;57.0;25.0;4;0;flexible;;1;1125
Sol;150.0;2;14;27;112;95.0;Sol;Centro;Apartment;Entire home/apt;5;2.0;2.0;4.0;Real Bed;90.0;30.0;2;15;strict;0.0;1;1125
Carabanchel;;30;60;90;365;83.0;Opañel;Carabanchel;Apartment;Private room;4;1.0;1.0;2.0;Real Bed;29.0;;1;19;moderate;;1;1125
;;1;18;48;138;;Ibiza;Retiro;Apartment;Private room;3;2.0;4.0;3.0;Real Bed;40.0;;1;20;flexible;;1;1125
;;0;0;0;0;;Embajadores;Centro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;21.0;;1;0;flexible;;1;1125
;;20;50;80;355;;Cuatro Caminos;Tetuán;Apartment;Entire home/apt;4;2.0;1.0;2.0;Real Bed;110.0;20.0;2;17;strict;;180;1125
;150.0;5;14;28;81;98.0;Universidad;Centro;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;175.0;40.0;1;0;moderate;;2;1125
;100.0;4;11;25;179;85.0;Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;25.0;15.0;1;0;strict;;1;1125
Palacio;200.0;13;25;43;315;93.0;Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;59.0;30.0;1;0;moderate;;2;1125
Cortes;;2;2;2;2;90.0;Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;50.0;;1;0;flexible;;1;1125
Ibiza;200.0;5;5;16;265;100.0;Ibiza;Retiro;Apartment;Entire home/apt;5;1.0;1.0;1.0;Real Bed;100.0;;4;15;strict;;2;1125
Cortes;150.0;5;15;37;127;94.0;Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;45.0;20.0;2;15;moderate;;2;1125
Ciudad Jardin;;11;34;55;55;97.0;Ciudad Jardín;Chamartín;Bed & Breakfast;Private room;1;1.0;1.0;1.0;Real Bed;27.0;;1;0;flexible;;2;1125
Sol;300.0;19;49;79;354;100.0;Sol;Centro;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;110.0;50.0;2;40;flexible;;3;1125
Sol;;1;6;16;280;88.0;Sol;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;40.0;9.0;2;10;strict;;1;30
;200.0;0;6;36;62;;Embajadores;Centro;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;43.0;30.0;1;0;strict;;7;1125
Embajadores;100.0;11;23;48;195;93.0;Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;71.0;20.0;4;10;moderate;;2;1125
Sol;150.0;8;24;50;137;97.0;Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;90.0;30.0;2;15;moderate;;2;1125
;95.0;0;17;42;291;100.0;Berruguete;Tetuán;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;45.0;;1;0;flexible;;5;30
Fuencarral-el Pardo;;30;60;90;365;93.0;Peñagrande;Fuencarral - El Pardo;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;25.0;;1;20;moderate;;1;1125
Vicálvaro;250.0;0;0;0;250;100.0;Casco Histórico de Vicálvaro;Vicálvaro;House;Private room;2;1.0;1.0;1.0;Real Bed;30.0;;3;0;moderate;;3;1125
San Blas;200.0;9;39;69;159;90.0;Canillejas;San Blas - Canillejas;Loft;Entire home/apt;5;1.5;3.0;3.0;Real Bed;75.0;20.0;1;0;moderate;;2;1125
Justicia;120.0;3;9;25;221;99.0;Justicia;Centro;Apartment;Entire home/apt;4;1.0;2.0;5.0;Real Bed;69.0;35.0;2;20;strict;;1;1125
Puente de Vallecas;299.0;0;0;0;223;100.0;Numancia;Puente de Vallecas;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;29.0;10.0;1;8;strict;;3;1125
;;0;0;0;219;100.0;Palos de Moguer;Arganzuela;House;Private room;2;2.0;1.0;1.0;Real Bed;35.0;10.0;1;0;flexible;;1;1125
Cortes;;9;16;31;302;93.0;Cortes;Centro;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;76.0;60.0;2;15;strict;0.0;2;365
Malasaña;;5;13;26;293;91.0;Universidad;Centro;Apartment;Entire home/apt;3;1.0;;2.0;Real Bed;45.0;15.0;2;15;strict;;1;1125
Palos do Moguer;90.0;4;24;46;319;92.0;Palos de Moguer;Arganzuela;Apartment;Entire home/apt;6;1.5;2.0;3.0;Real Bed;95.0;40.0;4;10;flexible;;3;100
Palacio;80.0;0;0;0;0;67.0;Palacio;Centro;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;18.0;;1;9;moderate;;3;1125
;;2;2;24;114;100.0;Palomeras Bajas;Puente de Vallecas;Condominium;Private room;2;1.0;;;Real Bed;17.0;;1;0;flexible;;1;1125
Cortes;100.0;0;0;7;271;75.0;Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;80.0;50.0;1;0;strict;;2;1125
;;5;21;26;285;94.0;Cortes;Centro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;20.0;10.0;1;0;strict;;2;1125
;;0;0;0;0;92.0;Arapiles;Chamberí;Apartment;Entire home/apt;3;1.0;0.0;2.0;Real Bed;46.0;;1;0;strict;;1;1125
;;23;49;70;345;97.0;Embajadores;Centro;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;26.0;5.0;1;0;flexible;;1;1125
;300.0;2;10;13;259;84.0;Sol;Centro;Apartment;Entire home/apt;16;6.0;10.0;16.0;Real Bed;180.0;35.0;8;12;strict;;1;1125
Retiro;301.0;0;0;0;253;89.0;Ibiza;Retiro;Apartment;Entire home/apt;3;2.0;2.0;2.0;Real Bed;120.0;40.0;3;40;moderate;;3;365
Carabanchel;;0;7;12;191;80.0;Vista Alegre;Carabanchel;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;45.0;;1;0;flexible;;7;1125
;200.0;13;34;59;334;89.0;Embajadores;Centro;Apartment;Entire home/apt;6;2.0;3.0;6.0;Real Bed;180.0;20.0;1;0;flexible;;2;30
;;30;60;90;365;;San Isidro;Carabanchel;Apartment;Private room;1;2.0;1.0;2.0;Real Bed;28.0;;1;0;flexible;;1;1125
Embajadores;150.0;10;40;66;341;100.0;Embajadores;Centro;Loft;Entire home/apt;4;1.0;1.0;2.0;Real Bed;59.0;40.0;2;10;strict;;3;1125
;200.0;7;14;41;316;100.0;Delicias;Arganzuela;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;53.0;30.0;2;10;moderate;;3;1125
Jerónimos;;0;6;36;61;100.0;Jerónimos;Retiro;Condominium;Private room;2;2.0;1.0;2.0;Real Bed;40.0;;1;0;flexible;;1;1125
Malasaña;;0;1;21;111;84.0;Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;65.0;;2;5;moderate;;4;365
Goya;200.0;17;38;68;343;90.0;Goya;Salamanca;Apartment;Entire home/apt;3;1.0;1.0;3.0;Real Bed;90.0;50.0;1;20;strict;;2;1125
;;0;18;18;18;89.0;Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;29.0;13.0;1;0;flexible;;2;30
;150.0;1;21;51;326;90.0;Ibiza;Retiro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;93.0;;2;0;strict;;14;1125
;;3;5;15;149;;Universidad;Centro;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;118.0;77.0;2;17;strict;;3;1125
;;3;3;3;3;;Universidad;Centro;House;Private room;2;1.0;1.0;1.0;Real Bed;22.0;;1;0;flexible;;1;1125
