Neighbourhood;Security Deposit;Availability 30;Availability 60;Availability 90;Availability 365;Review Scores Rating;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Square Feet;Minimum Nights;Maximum Nights
;95.0;15;36;43;43;84.0;Arapiles;Chamberí;Apartment;Private room;4;1.0;1.0;1.0;Real Bed;21.0;8.0;1;10;strict;;3;1125
Sol;;1;9;21;99;90.0;Sol;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;39.0;;1;0;moderate;;2;365
La Latina;150.0;8;31;48;210;79.0;Embajadores;Centro;Apartment;Entire home/apt;6;1.0;1.0;4.0;Real Bed;50.0;;1;0;moderate;;4;1125
;94.0;0;0;0;0;;San Juan Bautista;Ciudad Lineal;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;47.0;;1;0;flexible;;1;1125
Palacio;;8;13;23;281;93.0;Palacio;Centro;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;130.0;40.0;2;20;moderate;;3;1125
Embajadores;;10;40;70;156;;Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;80.0;;1;0;flexible;;3;1125
Aluche;;23;49;79;354;95.0;Puerta del Angel;Latina;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;22.0;;1;0;flexible;;1;1125
Prosperidad;;0;0;0;0;;Prosperidad;Chamartín;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;65.0;20.0;1;0;flexible;;1;1125
Nueva España;;16;46;76;351;87.0;Nueva España;Chamartín;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;91.0;;1;0;strict;;3;1125
Rios Rosas;800.0;0;18;20;103;93.0;Rios Rosas;Chamberí;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;45.0;;2;10;flexible;;10;1125
;;0;0;0;0;73.0;Recoletos;Salamanca;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;72.0;;1;0;strict;;5;1125
;;0;6;36;311;98.0;Guindalera;Salamanca;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;35.0;10.0;1;10;strict;;2;1125
La Latina;150.0;7;23;36;311;96.0;Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;45.0;30.0;1;0;strict;;4;1125
Palacio;;18;38;64;334;80.0;Palacio;Centro;Apartment;Entire home/apt;3;1.0;0.0;3.0;Real Bed;69.0;;2;5;moderate;;2;1125
;90.0;2;8;17;288;99.0;Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;71.0;15.0;2;15;moderate;;1;1125
;92.0;10;29;55;142;89.0;Hispanoamérica;Chamartín;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;85.0;20.0;2;15;strict;;1;1125
Goya;;0;21;51;323;100.0;Goya;Salamanca;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;34.0;;1;0;strict;;2;1125
Guindalera;;6;35;65;340;70.0;Guindalera;Salamanca;Apartment;Private room;3;1.0;1.0;3.0;Real Bed;25.0;;1;20;strict;;1;1125
;;3;29;54;329;80.0;Embajadores;Centro;Apartment;Private room;3;1.5;1.0;2.0;Real Bed;40.0;10.0;2;15;strict;;1;1125
Sol;150.0;10;26;40;274;67.0;Sol;Centro;Apartment;Entire home/apt;4;2.0;1.0;2.0;Real Bed;89.0;30.0;2;12;strict;;2;1125
;;5;5;5;102;100.0;Recoletos;Salamanca;Apartment;Entire home/apt;2;2.0;1.0;1.0;Real Bed;150.0;;1;0;strict;;2;1125
Cortes;200.0;7;37;64;339;;Cortes;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;Pull-out Sofa;80.0;40.0;1;0;strict;;2;1125
;;9;28;53;231;;Embajadores;Centro;House;Entire home/apt;3;1.0;1.0;2.0;Real Bed;45.0;;1;0;flexible;;2;1125
;;3;5;7;212;90.0;Acacias;Arganzuela;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;60.0;10.0;2;12;strict;;1;25
Malasaña;200.0;0;0;1;265;;Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;80.0;40.0;1;10;strict;;2;1125
Gaztambide;;0;0;7;282;84.0;Gaztambide;Chamberí;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;25.0;;1;0;flexible;;1;1125
Fuencarral-el Pardo;100.0;30;60;90;365;;Valverde;Fuencarral - El Pardo;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;25.0;;1;0;flexible;;1;1125
;;6;36;54;329;100.0;Gaztambide;Chamberí;Condominium;Private room;2;1.0;1.0;2.0;Real Bed;40.0;;1;0;flexible;;1;1125
;;7;28;46;320;95.0;Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;39.0;;1;0;moderate;;1;1125
;;25;54;84;248;97.0;Comillas;Carabanchel;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;19.0;;1;12;moderate;;1;1125
Palos do Moguer;200.0;14;44;74;349;90.0;Palos de Moguer;Arganzuela;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;65.0;20.0;1;0;moderate;;2;1125
Villa de Vallecas;;30;60;90;365;80.0;Casco Histórico de Vallecas;Villa de Vallecas;Apartment;Private room;2;1.0;1.0;2.0;Real Bed;30.0;;1;0;flexible;;5;1125
Cortes;;9;16;20;168;84.0;Cortes;Centro;House;Entire home/apt;6;4.0;3.0;3.0;Real Bed;150.0;20.0;7;20;strict;;2;365
Embajadores;150.0;15;45;75;350;91.0;Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;40.0;20.0;1;0;flexible;;3;7
Berruguete;;0;0;15;101;;Berruguete;Tetuán;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;30.0;10.0;2;10;moderate;;2;20
;100.0;9;28;32;174;95.0;Recoletos;Salamanca;Bed & Breakfast;Private room;4;3.0;1.0;2.0;Real Bed;45.0;;2;15;strict;;2;1125
Cortes;150.0;2;22;43;303;88.0;Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Couch;80.0;30.0;2;15;moderate;;2;1125
;120.0;0;0;0;0;;Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;120.0;;2;20;strict;;3;1125
;;6;22;52;111;96.0;Justicia;Centro;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;27.0;;1;0;strict;;2;1125
;;29;59;87;178;;Justicia;Centro;House;Private room;2;1.0;1.0;1.0;Real Bed;35.0;20.0;1;10;strict;;1;1125
Sol;;0;8;14;264;100.0;Sol;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;67.0;30.0;1;0;flexible;;1;1125
;100.0;7;24;49;314;90.0;Universidad;Centro;Apartment;Entire home/apt;6;1.0;2.0;3.0;Real Bed;90.0;40.0;4;15;moderate;;3;1125
;;7;28;52;52;94.0;Palacio;Centro;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;21.0;10.0;1;0;strict;;1;1125
